Player,Position,School,College,Height,Weight,40 Time,Vertical Jump,Bench,Broad Jump,3 Cone,Shuttle,Drafted
Levi Onwuzurike,DL,Washington,College Stats,6-2,290,4.89,30.0,29,109,,,Detroit Lions / 2nd / 41st pick / 2021
Joseph Ossai,LB,Texas,College Stats,6-3,256,4.63,41.5,19,131,,,Cincinnati Bengals / 3rd / 69th pick / 2021
Jayson Oweh,DE,Penn St.,College Stats,6-5,257,4.36,39.5,21,134,6.83,4.21,Baltimore Ravens / 1st / 31st pick / 2021
Jeremiah Owusu-Koramoah,LB,Notre Dame,College Stats,6-1,221,,36.5,,124,6.80,4.15,Cleveland Browns / 2nd / 52nd pick / 2021
Micah Parsons,LB,Penn St.,College Stats,6-3,246,4.39,34.0,19,126,6.89,4.40,Dallas Cowboys / 1st / 12th pick / 2021
Kwity Paye,DL,Michigan,College Stats,6-2,261,4.52,35.3,36,118,,,Indianapolis Colts / 1st / 21st pick / 2021
Ronnie Perkins,DE,Oklahoma,College Stats,6-2,253,4.71,32.0,25,115,,4.69,New England Patriots / 3rd / 96th pick / 2021
Jaelan Phillips,DL,Miami (FL),College Stats,6-5,260,4.56,36.0,21,125,,,Miami Dolphins / 1st / 18th pick / 2021
Kyle Pitts,TE,Florida,College Stats,6-5,245,4.44,33.5,22,129,7.12,4.30,Atlanta Falcons / 1st / 4th pick / 2021
Cornell Powell,WR,Clemson,College Stats,6-0,204,4.53,36.5,16,128,7.03,4.21,Kansas City Chiefs / 5th / 181st pick / 2021
Dillon Radunz,OT,North Dakota St.,,6-5,301,5.16,32.0,24,112,7.27,4.57,Tennessee Titans / 2nd / 53rd pick / 2021
Monty Rice,LB,Georgia,College Stats,6-0,233,4.58,32.0,,121,7.34,4.33,Tennessee Titans / 3rd / 92nd pick / 2021
Aaron Robinson,DB,Central Florida,College Stats,5-11,186,4.39,37.0,15,123,6.89,4.29,New York Giants / 3rd / 71st pick / 2021
Quincy Roche,DL,Miami (FL),College Stats,,,,32.5,23,119,,,Pittsburgh Steelers / 6th / 216th pick / 2021
Robert Rochell,DB,Central Arkansas,,5-11,193,4.41,43.0,9,133,6.84,4.08,Los Angeles Rams / 4th / 130th pick / 2021
Amari Rodgers,WR,Clemson,College Stats,5-9,212,4.52,33.0,19,121,7.07,4.31,Green Bay Packers / 3rd / 85th pick / 2021
Larry Rountree,RB,Missouri,College Stats,,,4.62,30.0,,,6.96,,Los Angeles Chargers / 6th / 198th pick / 2021
Gregory Rousseau,DL,Miami (FL),College Stats,6-6,266,4.68,30.0,21,115,,,Buffalo Bills / 1st / 30th pick / 2021
Chris Rumph,DE,Duke,College Stats,6-2,244,,,18,,,,Los Angeles Chargers / 4th / 118th pick / 2021
Anthony Schwartz,WR,Auburn,College Stats,6-0,186,4.27,32.0,,123,7.13,4.25,Cleveland Browns / 3rd / 91st pick / 2021
Trey Sermon,RB,Ohio St.,College Stats,6-0,215,4.57,37.0,,125,6.83,4.28,San Francisco 49ers / 3rd / 88th pick / 2021
Penei Sewell,OL,Oregon,College Stats,6-4,331,5.13,28.0,30,109,7.76,4.68,Detroit Lions / 1st / 7th pick / 2021
Tyler Shelvin,DT,LSU,College Stats,6-2,350,5.40,28.5,,97,8.15,5.05,Cincinnati Bengals / 4th / 122nd pick / 2021
William Sherman,OL,Colorado,College Stats,6-3,304,5.19,26.0,23,108,7.71,4.82,New England Patriots / 6th / 197th pick / 2021
Jamien Sherwood,DB,Auburn,College Stats,6-1,216,4.76,36.0,15,123,7.15,4.36,New York Jets / 5th / 146th pick / 2021
Rashawn Slater,OL,Northwestern,College Stats,6-4,304,4.91,33.0,33,112,7.48,4.45,Los Angeles Chargers / 1st / 13th pick / 2021
Tedarrell Slaton,DL,Florida,College Stats,6-4,330,5.09,29.0,27,109,7.91,4.81,Green Bay Packers / 5th / 173rd pick / 2021
Elerson Smith,DL,Northern Iowa,,,,4.71,41.5,26,127,7.00,4.39,New York Giants / 4th / 116th pick / 2021
Jordan Smith,OLB,Ala-Birmingham,College Stats,6-5,264,4.80,33.0,16,117,,,Jacksonville Jaguars / 4th / 121st pick / 2021
Ihmir Smith-Marsette,WR,Iowa,College Stats,6-0,181,4.43,37.0,,124,7.00,4.20,Minnesota Vikings / 5th / 157th pick / 2021
Benjamin St-Juste,DB,Minnesota,College Stats,6-3,202,4.51,34.5,11,119,6.63,3.96,Washington Football Team / 3rd / 74th pick / 2021
Caden Sterns,DB,Texas,College Stats,5-11,202,4.41,42.0,14,128,6.96,4.13,Denver Broncos / 5th / 152nd pick / 2021
Jacoby Stevens,S,LSU,College Stats,6-1,212,4.63,42.0,,130,,,Philadelphia Eagles / 6th / 224th pick / 2021
Marquez Stevenson,WR,Houston,College Stats,5-10,180,4.48,33.0,,122,6.76,4.14,Buffalo Bills / 6th / 203rd pick / 2021
Rhamondre Stevenson,RB,Oklahoma,College Stats,5-11,231,4.64,31.5,15,112,7.09,4.15,New England Patriots / 4th / 120th pick / 2021
Eric Stokes,DB,Georgia,College Stats,6-0,194,4.31,38.5,14,128,6.96,4.36,Green Bay Packers / 1st / 29th pick / 2021
Chazz Surratt,LB,North Carolina,College Stats,6-2,229,4.58,31.0,25,,7.02,4.16,Minnesota Vikings / 3rd / 78th pick / 2021
Patrick Surtain,DB,Alabama,College Stats,6-2,208,4.42,39.0,18,131,,,Denver Broncos / 1st / 9th pick / 2021
Keith Taylor,DB,Washington,College Stats,6-2,187,4.54,33.5,12,127,6.85,4.26,Carolina Panthers / 5th / 166th pick / 2021
Ambry Thomas,DB,Michigan,College Stats,5-11,191,4.37,38.0,15,122,,,San Francisco 49ers / 3rd / 102nd pick / 2021
Tommy Togiai,DT,Ohio St.,College Stats,6-1,296,4.97,32.0,40,105,7.20,4.49,Cleveland Browns / 4th / 132nd pick / 2021
Kadarius Toney,WR,Florida,College Stats,5-11,193,4.39,39.5,9,136,6.88,4.25,New York Giants / 1st / 20th pick / 2021
